Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent
China,199074.0,2988.0,4686.0,12.0,163726.0,3127.0,30662.0,237.0,160000000.0,1439323776.0,Asia
USA,82649779.0,17987.0,1018316.0,77.0,80434913.0,32660.0,1196550.0,1465.0,1000275726.0,334511757.0,North America
India,43057545.0,2593.0,522193.0,44.0,42519479.0,1755.0,15873.0,698.0,834281170.0,1404532227.0,Asia
Brazil,30345654.0,6957.0,662663.0,45.0,29364400.0,11002.0,318591.0,8318.0,63776166.0,215291063.0,South America
France,28244977.0,80571.0,145020.0,75.0,25852907.0,102120.0,2247050.0,1677.0,266484045.0,65534632.0,Europe
Germany,24109433.0,89665.0,134624.0,153.0,21179400.0,121400.0,2795409.0,1980.0,122332384.0,84268279.0,Europe
UK,21933206.0,0.0,173352.0,0.0,20714072.0,0.0,1045782.0,339.0,514985782.0,68530719.0,Europe
Russia,18128691.0,8829.0,374734.0,171.0,17464120.0,13030.0,289837.0,2300.0,273400000.0,146047589.0,Europe
S. Korea,16830469.0,75414.0,22024.0,151.0,627899.0,0.0,16180546.0,738.0,15804065.0,51348952.0,Asia
Italy,16079794.0,71105.0,162609.0,143.0,14684371.0,61778.0,1232814.0,409.0,211365630.0,60301104.0,Europe
Turkey,15016270.0,2654.0,98676.0,16.0,14854475.0,17524.0,63119.0,975.0,158110923.0,85979686.0,Asia
Spain,11786036.0,0.0,103908.0,0.0,11261340.0,0.0,420788.0,339.0,471036328.0,46787517.0,Europe
Vietnam,10554689.0,10365.0,43004.0,6.0,9081494.0,2229.0,1430191.0,685.0,85786808.0,98921912.0,Asia
Argentina,9060923.0,0.0,128344.0,0.0,8895999.0,0.0,36580.0,412.0,35716069.0,45945534.0,South America
Netherlands,8035603.0,0.0,22206.0,0.0,7604434.0,0.0,408963.0,94.0,21107399.0,17203414.0,Europe
Japan,7577841.0,42808.0,29257.0,56.0,7078090.0,50424.0,470494.0,203.0,46582691.0,125776552.0,Asia
Iran,7215512.0,608.0,140962.0,32.0,6963991.0,3021.0,110559.0,1087.0,50079995.0,85936350.0,Asia
Colombia,6091094.0,291.0,139771.0,6.0,5924433.0,290.0,26890.0,342.0,34355022.0,51863331.0,South America
Indonesia,6043768.0,522.0,156067.0,27.0,5868251.0,2082.0,19450.0,2771.0,94877499.0,278752361.0,Asia
Poland,5990853.0,1240.0,115948.0,22.0,5334340.0,67.0,540565.0,1588.0,36020113.0,37771676.0,Europe
Mexico,5732712.0,1077.0,324060.0,27.0,5033238.0,882.0,375414.0,4798.0,15755813.0,131381631.0,North America
Australia,5654608.0,41754.0,6970.0,31.0,5274197.0,40447.0,373441.0,132.0,68805662.0,26034737.0,Australia/Oceania
Ukraine,4997224.0,0.0,108306.0,0.0,980504.0,0.0,3908414.0,177.0,19521252.0,43258835.0,Europe
Malaysia,4427067.0,5624.0,35491.0,9.0,4310599.0,10041.0,80977.0,89.0,58332799.0,33115624.0,Asia
Thailand,4148090.0,20052.0,27652.0,129.0,3932099.0,22361.0,188339.0,1496.0,17270775.0,70116622.0,Asia
Austria,4099049.0,6536.0,18035.0,19.0,3979563.0,11753.0,101451.0,121.0,181724310.0,9099303.0,Europe
Israel,4054342.0,6649.0,10658.0,0.0,4009152.0,0.0,34532.0,220.0,41373364.0,9326000.0,Asia
Belgium,4015791.0,0.0,31319.0,0.0,3710295.0,0.0,274177.0,169.0,33456470.0,11680811.0,Europe
Czechia,3894637.0,2112.0,40076.0,9.0,3834664.0,3683.0,19897.0,47.0,55108160.0,10744898.0,Europe
Portugal,3791744.0,0.0,22162.0,0.0,980504.0,0.0,2789078.0,61.0,40748372.0,10142964.0,Europe
South Africa,3759689.0,4230.0,100298.0,12.0,3632572.0,290.0,26819.0,175.0,24313334.0,60660434.0,Africa
Canada,3695585.0,3820.0,38777.0,24.0,3426082.0,3274.0,230726.0,426.0,60536359.0,38340401.0,North America
Philippines,3684295.0,205.0,60179.0,61.0,3609425.0,1231.0,14691.0,289.0,29406529.0,112217561.0,Asia
Switzerland,3579867.0,0.0,13816.0,0.0,3358732.0,22469.0,207319.0,90.0,20666182.0,8769046.0,Europe
Peru,3560095.0,752.0,212736.0,12.0,854575.0,0.0,2492784.0,340.0,29627340.0,33802105.0,South America
Chile,3544463.0,2671.0,57375.0,24.0,3368796.0,9388.0,118292.0,286.0,36711724.0,19412855.0,South America
Greece,3277557.0,4175.0,28867.0,28.0,3151717.0,6895.0,96973.0,277.0,78872546.0,10331024.0,Europe
Denmark,2959040.0,1214.0,6072.0,12.0,2929103.0,2303.0,23865.0,15.0,127141200.0,5829078.0,Europe
Romania,2887824.0,566.0,65421.0,8.0,2606660.0,0.0,215743.0,212.0,22585326.0,19005726.0,Europe
Sweden,2498388.0,0.0,18656.0,0.0,2463086.0,1263.0,16646.0,19.0,18493218.0,10213114.0,Europe
Iraq,2324141.0,110.0,25204.0,1.0,2295947.0,369.0,2990.0,20.0,18450939.0,41853538.0,Asia
Serbia,2001144.0,628.0,15953.0,5.0,1967786.0,1538.0,17405.0,25.0,9427662.0,8673752.0,Europe
Bangladesh,1952532.0,26.0,29127.0,0.0,1893131.0,315.0,30274.0,1297.0,13956056.0,167655571.0,Asia
Hungary,1890953.0,0.0,46048.0,0.0,1776617.0,0.0,68288.0,45.0,11295119.0,9616008.0,Europe
Slovakia,1773653.0,1452.0,19829.0,12.0,1728556.0,3091.0,25268.0,88.0,7052991.0,5464423.0,Europe
Jordan,1694216.0,0.0,14048.0,0.0,1678941.0,0.0,1227.0,124.0,16670254.0,10386249.0,Asia
Georgia,1654163.0,87.0,16797.0,2.0,1635550.0,259.0,1816.0,0.0,16800497.0,3975325.0,Asia
Pakistan,1527751.0,82.0,30369.0,1.0,1493998.0,65.0,3384.0,185.0,28028845.0,228644024.0,Asia
Ireland,1509536.0,0.0,6996.0,0.0,1406802.0,8866.0,95738.0,44.0,12016948.0,5037497.0,Europe
Norway,1423509.0,289.0,2871.0,0.0,980504.0,0.0,440134.0,20.0,11002430.0,5497878.0,Europe
Kazakhstan,1305447.0,7.0,13660.0,0.0,1290975.0,11.0,812.0,24.0,11575012.0,19182717.0,Asia
Hong Kong,1201431.0,523.0,9236.0,9.0,627899.0,0.0,564296.0,115.0,44972952.0,7606940.0,Asia
Singapore,1180124.0,2709.0,1325.0,1.0,1112762.0,3375.0,66037.0,9.0,23712995.0,5933523.0,Asia
Morocco,1164670.0,56.0,16065.0,1.0,1148154.0,46.0,451.0,293.0,11237010.0,37701437.0,Africa
Bulgaria,1152892.0,354.0,36849.0,7.0,959542.0,110.0,156501.0,105.0,9797011.0,6853902.0,Europe
Croatia,1117175.0,894.0,15778.0,6.0,1096829.0,649.0,4568.0,22.0,4762146.0,4059506.0,Europe
Cuba,1101486.0,266.0,8523.0,0.0,1091603.0,310.0,1360.0,23.0,12920253.0,11314118.0,North America
Lebanon,1096320.0,93.0,10374.0,2.0,1079455.0,409.0,6491.0,186.0,4795578.0,6770194.0,Asia
Lithuania,1054191.0,729.0,9054.0,6.0,1016058.0,1757.0,29079.0,40.0,8213343.0,2653648.0,Europe
